paper,status,error,stage1_sites,stage1_parameters,measurements,issues
Alsubih & Khan 2024 Yamuna pharmaceuticals.pdf,failed,"[Errno 8] nodename nor servname provided, or not known",0,0,0,0
Antil et al 2025 Yamuna water quality.pdf,failed,"[Errno 8] nodename nor servname provided, or not known",0,0,0,0
Biswas and Vellanki. 2021 Yamuna emerging contaminants.pdf,failed,"[Errno 8] nodename nor servname provided, or not known",0,0,0,0
Jaiswal et al 2019 Yamuna water quality.pdf,failed,"[Errno 8] nodename nor servname provided, or not known",0,0,0,0
Mandal et al 2010 Yamuna water quality.pdf,failed,"[Errno 8] nodename nor servname provided, or not known",0,0,0,0
Parween et al 2017 Yamuna pollution.pdf,failed,"[Errno 8] nodename nor servname provided, or not known",0,0,0,0
Samui et al 2025 Yamuna drain participatory survey.pdf,failed,"[Errno 8] nodename nor servname provided, or not known",0,0,0,0
Sharma et al 2024 Yamuna water quality.pdf,failed,"[Errno 8] nodename nor servname provided, or not known",0,0,0,0
Vaid et al 2022 Najafgarh drain statistical analysis.pdf,failed,"[Errno 8] nodename nor servname provided, or not known",0,0,0,0
Verma et al 2023 Yamuna water quality.pdf,failed,"[Errno 8] nodename nor servname provided, or not known",0,0,0,0
